-2.67254,-3.83902,7
-1.44229,1.93997,7
3.37571,-1.70561,7
0.188604,1.48893,7
1.25163,1.50397,6
-0.000900702,2.90511,6
-3.95172,3.69778,6
0.637458,-1.72284,6
3.6378,-0.723363,5
-2.80551,-2.91205,5
3.49439,-3.57034,5
0.657426,2.68033,5
2.31986,2.13953,4
-2.18489,-1.38882,4
-2.54383,-0.273731,4
0.635336,0.680727,3
-2.08541,2.88791,3
1.10674,2.03025,3
-0.143468,-2.22905,2
-2.96526,1.33113,2
-1.93737,-1.93623,2
-0.987835,-1.13572,1
1.602,-0.201315,1
-0.620137,-1.86349,0
-0.268028,-1.51962,0
-1.60914,-0.55652,-1
0.671134,0.981751,-1
0.687819,-1.27798,-2
-1.86833,-0.266933,-2
-0.801595,0.585992,-3
0.0904256,0.144727,-3
-1.82342,-1.41526,-4
-0.589617,0.704322,-4
-0.554087,-0.340375,-5
0.691365,-0.486344,-6
0.689179,0.024435,-7
0.00305987,2.9034,-4.84174
3.06129,-0.110242,5.46646
3.78916,-0.0996958,-1.92416
3.11728,2.61339,3.59278
